,Trddt,Unnamed: 0,year,month,beta,BP,earningsfactor,leveragefactor,RSTR,Non-Linear Size,residualvolatilityfactor,Size,ret+1,Msmvosd
21,2014-12-01,37270.547080000004,1930.03634,11.49972,0.2732849304440353,0.42077300237546666,0.6666131290319168,0.119440964150588,1.3637988000296093,2.8277149287197076,-0.8155245810176106,2.550196960686642,0.29220357274,0.005257670889500403
22,2015-01-01,39217.3901,1933.13055,0.95937,0.3095938959434116,0.6556159391054472,0.672389193761438,0.12807229430744196,0.5905733042748614,2.7102873540683508,-0.2719118603549523,2.459587375545399,-0.0111023094,0.004710131888365826
23,2015-02-01,40789.022110000005,1917.7561,1.90348,0.39465763877217824,0.6652414224435363,0.619834128767781,0.12391317850137708,0.28107078404663355,2.6385280890015252,0.056265357749984084,2.4009578630676223,0.04488039225,0.004485921492466566
24,2015-03-01,43301.971869999994,1945.5228000000002,2.89656,0.41275243695806674,0.7926176668034284,0.6139377414294809,0.12105528015514039,-0.08214355996629888,2.645896699238477,0.49935777934072106,2.4100812804554046,0.13980668188,0.004364889970566001
25,2015-04-01,45046.6277,1936.95905,3.84508,-0.06392287438148839,0.7669733659030243,0.5313522197864459,0.12760865567148927,0.08283300317071832,2.6452124926360354,0.2946442435950513,2.415833364282525,0.19168767414,0.004284498614536437
26,2015-05-01,46760.28207,1930.0073000000002,4.7890999999999995,-0.2634582028078342,0.8818582918116249,0.5277324351715533,0.15219838869896213,-0.5069701471307111,2.4716969273544027,0.2108393922380304,2.275691969793649,0.04205814844,0.003554805623652895
27,2015-06-01,47644.115690000006,1889.9894,5.62776,-0.5817493027122737,0.8840359822997428,0.5802417022013039,0.19222383504563956,-0.32914583950996,2.519266451022276,-0.086434203378124,2.3122255108982226,-0.046431169999999994,0.003911798901360912
28,2015-07-01,48074.741070000004,1837.70015,6.3840699999999995,-1.1364908443565667,0.6797012032916636,0.5285119372681912,0.11764745179801248,-0.12800225039329122,2.440702424520826,-0.2482227812489775,2.221802988974891,-0.12033062534000001,0.004213950943509286
29,2015-08-01,48979.33817,1808.3818999999999,7.179679999999999,-1.2873212070659705,0.6607988995985788,0.6124596488533879,0.05974891457266675,0.07314958385077613,2.4535376466037118,-0.31600722610356774,2.2308547933810585,-0.10184713659,0.004404677008771276
30,2015-09-01,51075.44016,1824.11905,8.14743,-1.4049745663704902,0.7180292502442991,0.6462710315139673,0.0799562165395046,-0.0017625913264809022,2.5275838952095286,-0.34650532036490617,2.293001504284805,-0.03687429021,0.004665573025971316
31,2015-10-01,53010.13124,1832.6425,9.094999999999999,-1.2635989377568029,0.8287286775420167,0.6344490708349999,0.08896249587644914,-0.4892016243734361,2.4827193989288867,-0.170242330105354,2.263089924859208,0.10656205369,0.004186802933740059
